tasks,scenario_seed,algorithm_seed,method,comparison,metric,difference,energy_tolerance_j
50,48,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-1.0543263509931389,2.2179031420286335
50,48,100,fixed_task_route,stage2_minus_stage1,energy_j,1.8511672664317302,2.2179031420286335
50,48,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,1.7830057999315727,2.2179031420286335
50,48,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.574356135887001,2.2179031420286335
50,48,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-8.12850089459971e-08,2.2179031420286335
50,48,100,full,stage2_minus_stage1,normalized_cpu,-0.5895217685446099,1.6674151811333824
50,48,100,full,stage2_minus_stage1,energy_j,1.389715432014782,1.6674151811333824
50,48,100,full,stage2_minus_stage1,mean_delay_s,0.3540259589228185,1.6674151811333824
50,48,100,full,stage2_minus_stage1,p95_delay_s,-0.39475953418951804,1.6674151811333824
50,48,100,full,stage2_minus_stage1,min_deadline_slack_s,-8.522638950125838e-08,1.6674151811333824
50,48,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-1.0543263509931389,2.2179031420286335
50,48,101,fixed_task_route,stage2_minus_stage1,energy_j,1.8511672664317302,2.2179031420286335
50,48,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,1.7830057999315727,2.2179031420286335
50,48,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.574356135887001,2.2179031420286335
50,48,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-8.12850089459971e-08,2.2179031420286335
50,48,101,full,stage2_minus_stage1,normalized_cpu,-0.643433468948614,1.6834147414907594
50,48,101,full,stage2_minus_stage1,energy_j,1.4058806076354813,1.6834147414907594
50,48,101,full,stage2_minus_stage1,mean_delay_s,0.01138402554082063,1.6834147414907594
50,48,101,full,stage2_minus_stage1,p95_delay_s,-1.2196180090684265,1.6834147414907594
50,48,101,full,stage2_minus_stage1,min_deadline_slack_s,1.5292590660465066e-07,1.6834147414907594
50,48,102,fixed_contacts,stage2_minus_stage1,normalized_cpu,-1.345318743376641,1.6546480083287771
50,48,102,fixed_contacts,stage2_minus_stage1,energy_j,1.3655966790101957,1.6546480083287771
50,48,102,fixed_contacts,stage2_minus_stage1,mean_delay_s,2.1178080651772007,1.6546480083287771
50,48,102,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.26326797613904773,1.6546480083287771
50,48,102,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,1.1425481716287322e-07,1.6546480083287771
50,48,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-1.0543263509931389,2.2179031420286335
50,48,102,fixed_task_route,stage2_minus_stage1,energy_j,1.8511672664317302,2.2179031420286335
50,48,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,1.7830057999315727,2.2179031420286335
50,48,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.574356135887001,2.2179031420286335
50,48,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-8.12850089459971e-08,2.2179031420286335
50,48,102,full,stage2_minus_stage1,normalized_cpu,-1.3182913210346288,1.6196493574328765
50,48,102,full,stage2_minus_stage1,energy_j,1.3339279403735418,1.6196493574328765
50,48,102,full,stage2_minus_stage1,mean_delay_s,0.602535298708375,1.6196493574328765
50,48,102,full,stage2_minus_stage1,p95_delay_s,-0.3253359222501899,1.6196493574328765
50,48,102,full,stage2_minus_stage1,min_deadline_slack_s,1.8040847749034583e-07,1.6196493574328765
50,49,100,fixed_contacts,stage2_minus_stage1,normalized_cpu,0,1.6477303156598655
50,49,100,fixed_contacts,stage2_minus_stage1,energy_j,1.380249854089925,1.6477303156598655
50,49,100,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.20559961825890127,1.6477303156598655
50,49,100,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.9532293321420866,1.6477303156598655
50,49,100,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.17706574706636502,1.6477303156598655
