tasks,scenario_seed,algorithm_seed,method,stage,timeline,available,solver_status,qualified,audit_passed,max_normalized_violation,worst_constraint,energy_j,normalized_mec_cpu,total_distance_m,contacts,offloaded_tasks,offload_ratio,mean_delay_s,p95_delay_s,min_deadline_slack_s,mean_carrying_wait_s,flight_j,collection_j,upload_hover_j,transmit_j,local_compute_j,carrying_wait_status
50,49,100,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S3,164774.41181584058,0,8561.891230370064,0,0,0.0,192.23040577398714,371.94562386519124,0.0059755991773045025,,154114.04214666114,10000.0,0.0,0.0,660.3696691794229,not_applicable_all_local
50,49,100,fixed_contacts,2,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S3,164774.41181584058,0,8561.891230370064,0,0,0.0,192.01238231813997,371.1852246441589,0.17706583230153683,,154114.04214666114,10000.0,0.0,0.0,660.3696691794229,not_applicable_all_local
50,49,100,fixed_task_route,1,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218629.56104221923,0,11559.706742434906,0,0,0.0,199.16971747611478,344.41703327592745,1.2826717465941329e-09,,208074.7213638283,10000.0,0.0,0.0,554.8396783909232,not_applicable_all_local
50,49,100,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218629.56104221923,0,11559.706742434906,0,0,0.0,199.16971741577322,344.4170331459757,3.751262056539417e-08,,208074.7213638283,10000.0,0.0,0.0,554.8396783909232,not_applicable_all_local
50,49,100,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218631.399353516,0,11559.706742434906,0,0,0.0,199.170071657615,344.380498602563,0.007401300803053346,,208074.7213638283,10000.0,0.0,0.0,556.6779896876698,not_applicable_all_local
50,49,100,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218631.399353516,0,11559.706742434906,0,0,0.0,198.898250407335,343.81389156786304,0.21360642259281803,,208074.7213638283,10000.0,0.0,0.0,556.6779896876698,not_applicable_all_local
50,49,100,full,1,saved,True,optimal,True,True,1.7686038492311953e-06,upload_epi::G_U2_1,161644.4481614962,1.5733525926063836,8355.572401184167,2,4,0.08,203.20470358750168,338.4638527769478,1.8891341824200936e-09,30.93733821280047,150400.303221315,10000.0,643.3154218312786,0.32165771091563927,600.5078606390251,available
50,49,100,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U2_1,161644.44816181093,1.5733525926063836,8355.572401184167,2,4,0.08,199.6008203867602,329.8413888414912,6.072502856113715e-08,30.93733821280047,150400.303221315,10000.0,643.3154221458387,0.32165771107291935,600.5078606390251,available
50,49,100,full,2,saved,True,optimal,True,True,0.0022680515300198645,upload_epi::G_U1_1,161645.77976510735,0.42135685582732935,8355.572401184167,2,4,0.08,203.97384899209388,346.0691917113486,7.599965101690032e-11,30.93733821280047,150400.303221315,10000.0,643.3155030625716,0.3216577515312858,601.839382978252,available
50,49,100,full,2,reconstructed,True,optimal,True,True,0.0029481934436687827,deadline::S19,161645.77969264178,0.42135685582732935,8355.572401184167,2,4,0.08,202.45857754616125,345.15176240796575,-1.3277040693537856e-06,30.93733821280047,150400.303221315,10000.0,643.3154306332228,0.32165771531661147,601.839382978252,available
50,49,101,fixed_contacts,1,saved,True,optimal,True,True,1.7865679844610646e-05,local_complete::S28,164821.83217530113,0,8565.805901280004,0,0,0.0,201.01751483719278,363.6453300236598,3.508944246277679e-10,,154184.50622304008,10000.0,0.0,0.0,637.3259522610542,not_applicable_all_local
50,49,101,fixed_contacts,1,reconstructed,True,optimal,True,True,1.8711847990800562e-05,deadline::S7,164821.83217530113,0,8565.805901280004,0,0,0.0,201.017514826659,363.6453299862994,-8.144525054376572e-09,,154184.50622304008,10000.0,0.0,0.0,637.3259522610542,not_applicable_all_local
50,49,101,fixed_contacts,2,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,164823.2236827946,0,8565.805901280004,0,0,0.0,201.02460257216524,363.6248509665877,0.006387174600718026,,154184.50622304008,10000.0,0.0,0.0,638.717459754534,not_applicable_all_local
50,49,101,fixed_contacts,2,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,164823.2236827946,0,8565.805901280004,0,0,0.0,200.8380229613088,362.95353346204996,0.1333469282226929,,154184.50622304008,10000.0,0.0,0.0,638.717459754534,not_applicable_all_local
50,49,101,fixed_task_route,1,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218629.56104221923,0,11559.706742434906,0,0,0.0,199.16971747611478,344.41703327592745,1.2826717465941329e-09,,208074.7213638283,10000.0,0.0,0.0,554.8396783909232,not_applicable_all_local
50,49,101,fixed_task_route,1,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218629.56104221923,0,11559.706742434906,0,0,0.0,199.16971741577322,344.4170331459757,3.751262056539417e-08,,208074.7213638283,10000.0,0.0,0.0,554.8396783909232,not_applicable_all_local
50,49,101,fixed_task_route,2,saved,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218631.399353516,0,11559.706742434906,0,0,0.0,199.170071657615,344.380498602563,0.007401300803053346,,208074.7213638283,10000.0,0.0,0.0,556.6779896876698,not_applicable_all_local
50,49,101,fixed_task_route,2,reconstructed,True,optimal,True,True,0.0,nonnegative::local_cpu_ghz::S1,218631.399353516,0,11559.706742434906,0,0,0.0,198.898250407335,343.81389156786304,0.21360642259281803,,208074.7213638283,10000.0,0.0,0.0,556.6779896876698,not_applicable_all_local
50,49,101,full,1,saved,True,optimal,True,True,1.2028689155840766e-06,upload_epi::G_U2_1,160304.4127656129,1.5737326998468695,8287.630107623576,2,4,0.08,205.30773081143914,348.2222858214723,3.8062353269197047e-10,36.78982794447831,149177.34193722435,10000.0,625.0150211004033,0.31250751055020165,501.74329977759453,available
50,49,101,full,1,reconstructed,True,optimal,True,True,0.0,nonnegative::tau_s::G_U3_1,160304.41276577485,1.5737326998468695,8287.630107623576,2,4,0.08,202.06270132974205,348.2222858052791,7.88190845923964e-09,36.78982794447831,149177.34193722435,10000.0,625.0150212622494,0.31250751063112475,501.74329977759453,available
