tasks,scenario_seed,algorithm_seed,method,code_commit,solution_sha256,stage1_qualified,stage2_qualified,nominal_budget_s,search_runtime_s,overrun_s,resource_recompute_runtime_s,audit_runtime_s,oracle_calls,oracle_cache_hits,freeze_rejections,unique_admissible_structures,direct_structure_calls
50,50,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,98be35637accac0d5e2f3f4e7596f32bf98fcefe415863dde2f2c4c9edc0ea30,True,True,15.0,15.308633867999987,0.30863386799998693,0.7199231090000069,0.005335144000014225,9,4,0,34,3
50,51,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,951f4e034b2f45b5dfc9d4e0699dc101a2305579a5471765aae9894fb5a5876d,True,True,15.0,12.621132457999977,0.0,0.6700658520000502,0.004583568999976251,1,2,267,66,50
50,51,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,a1ba821e8c53fd332fde823654f7c71547b74ab9eaf8d52c68dfa01b2874d46c,True,True,15.0,19.16075676700001,4.160756767000009,0.661494198000014,0.00466656700001522,3,2,172,4,49
50,51,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,ffb26741d8f54ce135722b7b200530bbed947bd6c367804013279c2ec0ae6628,True,True,15.0,15.391057278000005,0.3910572780000052,0.5938316030000124,0.004584831999977723,8,2,0,96,17
50,51,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,29691dc16f8d14a82372396db36c573b795185614459015c699e65f5f0f8b000,True,True,15.0,12.823793443,0.0,0.6484220119999691,0.004383213999972213,2,2,268,74,55
50,51,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,a1ba821e8c53fd332fde823654f7c71547b74ab9eaf8d52c68dfa01b2874d46c,True,True,15.0,19.12213023999999,4.12213023999999,0.5956197820000284,0.004580804999989141,3,2,172,4,48
50,51,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,b5f89cd9c33c02e6511cebcc366036b861fbdd77c23e02edb9f26f17730ef1bc,True,True,15.0,14.430559578999976,0.0,0.6573934880000252,0.005395647000000281,6,3,0,107,19
50,51,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,7a6a6991934bb3c809864f25f52c1c41a359cc61679f88cbbf775719e4a1a9bb,True,True,15.0,12.768867529999966,0.0,0.6755453050000142,0.004706992000024002,1,2,235,68,42
50,51,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,a1ba821e8c53fd332fde823654f7c71547b74ab9eaf8d52c68dfa01b2874d46c,True,True,15.0,19.263080876000004,4.263080876000004,0.5909065149999719,0.004490685999996913,3,2,170,4,46
50,51,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,4a9cd04162ffa27538843649087ab301aad0ad7cf6e019811540e2ef7521ab1d,True,True,15.0,15.25209485299996,0.25209485299996004,0.6712428530000238,0.004567980999979682,7,3,0,45,8
50,52,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,5a58a4bbd0f6874c64a8b7bfc29611eca1e85712bdbb9a2d664f59ecd86d13e8,True,False,15.0,15.217477203999998,0.21747720399999793,6.7959470710000005,0.004960297000003777,7,2,44,30,16
50,52,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7eac28db80132a97dd8da6391bb0c390347698c2555266fca108312f8bde56ab,True,False,15.0,13.843522886999992,0.0,6.655143941000006,0.005800354000001562,4,2,150,4,40
50,52,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,f41b79783acc9f80d38fafeecf57ad6fca1464112784e86ab36a2d73a7ace284,True,False,15.0,15.125154117000001,0.125154117000001,1.4419790470000038,0.0047109710000086125,7,2,0,49,13
50,52,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,cd26046a28d8e8fa8dbc837c3b3e7706b6579d9b11fdba653bf19c1cd5b6efe8,True,True,15.0,12.806181900999988,0.0,0.6676782699999819,0.005062312000006841,2,3,126,49,33
50,52,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7eac28db80132a97dd8da6391bb0c390347698c2555266fca108312f8bde56ab,True,False,15.0,13.707276699000005,0.0,6.680219550999993,0.0050681430000025784,4,2,151,4,41
50,52,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,b34e3a5e5902529982a9a188316208fc909f43e8b5c9c3593ce3a7aaefef5f06,True,True,15.0,15.256248929999998,0.25624892999999815,2.8702858869999943,0.004567543999996815,8,4,0,64,14
50,52,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,224073e22a0ac9df8546045cb55eaee4f8e5ced6b09e7851a69425fdfe645b0b,True,True,15.0,13.051022890000013,0.0,0.6945419719999961,0.0055054000000041015,2,3,157,45,34
50,52,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7eac28db80132a97dd8da6391bb0c390347698c2555266fca108312f8bde56ab,True,False,15.0,13.74128373100001,0.0,6.73327230999999,0.004993169000016451,4,2,148,4,40
50,52,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,9b1f1b909a73ed6e37d1d60c81e8d2697dcdd5a4b2562d8f8deb7a84986bf1e9,True,True,15.0,14.21230204699998,0.0,0.5981361040000195,0.0047882810000032805,6,3,0,76,20
80,45,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,226c53cdffb3efa534b446c82f70ae45be9733078651f294721f00ef17f3bde1,False,False,45.0,38.958995015,0.0,0.0002669230000265088,6.1840000000756845e-06,1,1,172,3,26
80,45,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,0d2c20efe00f972ef99a1bcd94e5f9a9dd44a9435bbf4d675f799032e2ddcbb0,False,False,45.0,36.881421383,0.0,0.0002054410000198459,7.296999996242448e-06,1,1,12,19,10
80,45,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,0e4fb430a5485ddb3a0f2ec3b507b535a6ae361ab71dd96801275cd1b1a141d7,False,False,45.0,36.118033024,0.0,0.00020951400000512876,4.849999982070585e-06,1,1,0,32,14
80,45,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,065ecf7ac810813e44535a99d4746d0527b8d6a53f4525d738776dc1b5a6f490,False,False,45.0,36.50543878299999,0.0,0.00023105500002884582,4.531999991286284e-06,1,1,203,8,29
80,45,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,0d2c20efe00f972ef99a1bcd94e5f9a9dd44a9435bbf4d675f799032e2ddcbb0,False,False,45.0,36.163487024999995,0.0,0.00019585599997640202,4.885999999260093e-06,1,1,11,19,10
80,45,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,8c27711f5618c5364325e8f515b87375d0c7bc197a1c6555c44be279b6d9f142,False,False,45.0,36.155363757,0.0,0.00022797600001922547,4.4690000322589185e-06,1,1,0,40,15
80,45,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,69d79344841fbd5d6603a625b2a8e882d7a47d18cece45004849a515251774b2,False,False,45.0,36.41556536799999,0.0,0.00023545300001615033,5.154000007223658e-06,1,1,183,10,28
80,45,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,0d2c20efe00f972ef99a1bcd94e5f9a9dd44a9435bbf4d675f799032e2ddcbb0,False,False,45.0,37.22961522700001,0.0,0.000194196999984797,4.872000033628865e-06,1,1,16,19,10
80,45,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,db639e87ad08fa5853de359187c25acdea85eeb573609deb624dbee5e806c61c,True,True,45.0,42.602970124999956,0.0,5.690877490999981,0.007286393000015323,13,2,0,101,16
80,46,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,be2aa62247590e9c409b00e12ee57b4fe89e1c772673735c1f2c37495116b73b,False,False,45.0,36.777100321999995,0.0,0.00018448000000148568,4.128000000491738e-06,1,1,96,12,25
80,46,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,dcf781b92b413c0265945286eaa9e0166a15341bd365ecd75efc3369fb2c4a65,False,False,45.0,36.54290375000001,0.0,0.00017414000001281238,4.732999997258958e-06,1,1,20,15,14
80,46,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,59efa3c13adea622e9ea0a5f667e813d1ce2799b581ea4fc81cff2e0e99b2ba6,True,True,45.0,39.961207490999996,0.0,0.6419390650000025,0.004866120999992063,7,2,0,88,18
80,46,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,adb9e2b5494447cf957bcd9438eabf20c925dbcdf72933299457534cf882ba6a,False,False,45.0,36.03139918599999,0.0,0.00016087699998479366,3.888999970058649e-06,1,1,105,7,28
80,46,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,dcf781b92b413c0265945286eaa9e0166a15341bd365ecd75efc3369fb2c4a65,False,False,45.0,38.431691293,0.0,0.00017029699998261094,4.305999993903242e-06,1,1,21,15,15
80,46,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,1f059d82fe4f734ba922f46ff251444047103524366084d88e3433837c076f12,False,False,45.0,46.359488312999986,1.3594883129999857,9.469212502000005,0.002689802000020336,1,1,0,75,28
80,46,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,6d7c72349739c09091ea7a5b9c3cce4c57c3b37b268add781bab371a9a8fd328,False,False,45.0,36.993041404999985,0.0,0.0001746789999970133,4.1320000150335545e-06,1,1,104,17,25
80,46,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,dcf781b92b413c0265945286eaa9e0166a15341bd365ecd75efc3369fb2c4a65,False,False,45.0,37.80446903500001,0.0,0.0001732709999942017,4.054000044106942e-06,1,1,26,15,15
80,46,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,3b966291541594a010b256123e21b09a5e4005396b362fcc91a9bdb240fcf01c,False,False,45.0,42.72436806899998,0.0,10.534931029000006,0.002666173000022809,1,1,0,52,10
80,47,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,ee0185c9da22d2a2f7cd99bd2091e21b8ce6b5f622524ca6c2cf6a823428e445,False,False,45.0,38.352017432,0.0,0.000133899999994469,4.316000001836073e-06,1,1,136,18,28
80,47,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7a4c244abd4c1ae0ae84c1e1707a7b1dcb01dffcfade64e84a24c5617ed3ad22,False,False,45.0,36.99342676699999,0.0,0.00012214199999505126,4.056000008745286e-06,1,1,69,9,43
80,47,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,073cb61e8432c6c45599f877e6ad5cf4657ec7284577ab4b22eec1923734f2f4,True,True,45.0,38.293765527000005,0.0,0.5519101320000175,0.004589737999992849,6,3,0,117,23
80,47,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,36a6c57deada4ad81ecfebc14d88234aef735bf5d585d3e37e8abc179f25b705,False,False,45.0,36.646632796999995,0.0,0.00012152100003959276,3.4349999964433664e-06,1,1,129,13,25
80,47,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7a4c244abd4c1ae0ae84c1e1707a7b1dcb01dffcfade64e84a24c5617ed3ad22,False,False,45.0,36.427173976999995,0.0,0.00012031899998987683,3.63600000241604e-06,1,1,75,9,40
80,47,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,e81f4d58fd8c81c331d339042243de02eb90c80be3b1ff7b435a05fa47d68ae4,False,False,45.0,44.496956337,0.0,10.743512323000004,0.004392061999993757,1,1,0,111,21
80,47,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,32fdae566c4caec480bebb2795104c17153b98400c0c0f9ce7f1c49a1cb42024,False,False,45.0,36.83938713200001,0.0,0.00012299299999085633,3.4349999964433664e-06,1,1,231,21,40
80,47,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,7a4c244abd4c1ae0ae84c1e1707a7b1dcb01dffcfade64e84a24c5617ed3ad22,False,False,45.0,36.309945158000005,0.0,0.00011852700004055805,3.075000051921961e-06,1,1,72,9,42
80,47,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,b76c2a373445e34eb1430334b1e7faf7e20e682776098f34e5b358272295092c,False,False,45.0,41.32380700800002,0.0,7.953230729999973,0.002304017999961161,1,1,0,134,25
80,48,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,a49a5ebb86b786a10f8abae2a2822381a90ba4af54b8383a3e5d0d4ef5e9b039,True,False,45.0,37.07242194300001,0.0,10.96017260299999,0.008008858000010832,1,3,183,37,40
80,48,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,037571dd8a72e047a61a57a244dbae528b100119133719461caf41c20f8556a0,False,False,45.0,37.009665595,0.0,0.00028152899997735403,4.859000000578817e-06,1,1,71,9,25
80,48,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,c7c5eea8abd06137726c957ac77f1a6ead0a40e8a2daeff4de13657b76ea2cd3,True,True,45.0,40.416898205,0.0,1.0715448880000054,0.007559531000012498,6,3,0,73,15
80,48,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,42f3e62efc5d6dc98f2fd5e3434cf9392d75961dec87e7e052929613ad4b2537,True,True,45.0,37.904362136,0.0,0.9819165320000138,0.00758167300000423,2,3,135,41,28
80,48,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,037571dd8a72e047a61a57a244dbae528b100119133719461caf41c20f8556a0,False,False,45.0,36.636808228999996,0.0,0.00028277100000195787,3.9180000044325425e-06,1,1,70,11,24
